id,dataset,model_type,past,coupling_layers,sliding_window,VUS_ROC,AUC_ROC,RANGE_PR_AUC,F,AUC_PR,Precision,Recall,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_PR,Affiliation_Precision,Affiliation_Recall
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,pca,-1,-1,125,0.3472986632965731,0.4415152239719826,0,0.0,0.0003072841648266731,0.0,0.0,0.0,0.0,0.0,0.0,0.3728215274179507,0.0012897722981733452,0.0007646737408100487,0.5279880759899358,0.1680561507407926
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,health_esn,-1,-1,125,0.3609285326398242,0.39803373731710845,0,0.0,0.0002716090778012207,0.0,0.0,0.0,0.0,0.0,0.0,0.4098889289717159,0.0013325557689823468,0.0007705826626365337,0.7307162927067637,0.07001965742039856
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,fast_mcd,-1,-1,125,0.3715218560427987,0.42205849814707735,0,0.0,0.00021573790723250773,0.0,0.0,0.0,0.0,0.0,0.0,0.3910561941824717,0.001232513821986091,0.0007403552948870374,0.47515674088374715,0.7360607222130855
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,autoencoder,-1,-1,125,0.441568601712571,0.5101539068802853,0,0.0,0.00033053105149126954,0.0,0.0,0.0,0.0,0.0,0.0,0.4761465045707216,0.0016866613334855268,0.0009889096990970843,0.4836919894311613,0.2444699716221854
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,robust_pca,-1,-1,125,0.33832422714063504,0.42176110101495584,0,0.002721732441867345,0.00030159016115814327,0.0013832922355205388,0.08394160583941605,0.08394160583941605,0.004640839386602098,0.09090909090909091,0.008830869648684968,0.3643363068701045,0.0012977595316231503,0.0007684679071549143,0.5377622455638077,0.36668362371839563
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,knn,-1,-1,125,0.6478472401118789,0.6408935074525822,0,0.0,0.0004036773309930682,0.0,0.0,0.0,0.0,0.0,0.0,0.6617869070345354,0.001733784014197646,0.001095031150143813,0.7643780921492935,0.14311701862588316
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,hbos,-1,-1,125,0.41148315361814175,0.48339673430081315,0,0.0,0.00038333102307005346,0.0,0.0,0.0,0.0,0.0,0.0,0.4281749527836975,0.0013750253863192563,0.0008250867518418949,0.49579696404279,0.9195260663323183
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,torsk,-1,-1,125,0.9982906815696323,0.9980610297519039,0,0.0,0.06607185917530745,0.0,0.0,0.0,0.0,0.0,0.0,0.998428539324224,0.6217660819631462,0.5884593999591264,0.4838670430757812,1.0
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,iforest,-1,-1,125,0.4040139611717199,0.46646451301585956,0,0.0,0.00026318354400812517,0.0,0.0,0.0,0.0,0.0,0.0,0.4339364669728457,0.001373902674229593,0.0008163768900825106,0.5378752560275821,0.6904560050788184
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,multi_hmm,-1,-1,125,0.4528858110330253,0.5220931631131638,0,0.0,0.00029931169426567633,0.0,0.0,0.0,0.0,0.0,0.0,0.48149897210580483,0.0016296587712224114,0.0009565703348621285,0.48933110159535215,0.9213219976755727
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,gdn,-1,-1,125,0.5140262429710478,0.5606180960675288,0,0.0,0.0004213258613394883,0.0,0.0,0.0,0.0,0.0,0.0,0.5449094461871122,0.0018002952454941753,0.0010830104547720348,0.78246409684643,0.15249825142859955
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,deepant,-1,-1,125,0.5251130249899583,0.5886591031572763,0,0.002108350902924191,0.00040153741396747075,0.0010675826216115856,0.08394160583941605,0.08394160583941605,0.002817591571726081,0.09090909090909091,0.005465779467680608,0.5555465756928077,0.002016896653760708,0.0011798995529585916,0.6297659010850095,0.23908929524324074
-,4-lotka_volterra-2-prey-2-predator-1000-cooldown-1-mil-steps-no-anomaly,damp,-1,-1,125,0.5392329470926276,0.45701661873431143,0,0.000620989443179466,0.0003290186119469187,0.00031496062992125983,0.021897810218978103,0.021897810218978103,4.528575310207409e-05,0.03376623376623377,9.045019846860858e-05,0.6064675451975973,0.0023186995518394,0.001230457562768698,0.570832861803383,0.6468115335913164
