id,dataset,model_type,past,coupling_layers,sliding_window,VUS_ROC,AUC_ROC,RANGE_PR_AUC,F,AUC_PR,Precision,Recall,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_PR,Affiliation_Precision,Affiliation_Recall
-,10-rw-one-channels-anomaly-no-anomaly,hybrid_knn,-1,-1,125,0.22218428207224564,0.17777777777777776,0.005,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.30658952225614794,0.05545967739845017,0.030774104441710068,0.20699999999999996,0.262
-,10-rw-one-channels-anomaly-no-anomaly,subsequence_knn,-1,-1,125,0.6749233874715715,0.6227272727272727,0.0059425321593785,0.0,0.014354740514510914,0.0,0.0,0.0,0.0,0.0,0.0,0.7393347935623634,0.1032747964548788,0.05375686240052174,0.1408235294117647,0.1879999999999999
-,10-rw-one-channels-anomaly-no-anomaly,pca,-1,-1,125,0.8782170115985463,0.8141414141414142,,0.0,0.03776803118908382,0.0,0.0,0.0,0.0,0.0,0.0,0.8993259912137638,0.22711441895958556,0.13288288851209584,0.6908393393393394,1.0
-,10-rw-one-channels-anomaly-no-anomaly,health_esn,-1,-1,125,0.8096263529396884,0.8361616161616161,0.2050584795321637,0.0,0.03149272407552044,0.0,0.0,0.0,0.0,0.0,0.0,0.7517344140866627,0.1100166275585977,0.081125126223377,0.5147070707070707,1.0
-,10-rw-one-channels-anomaly-no-anomaly,fast_mcd,-1,-1,125,0.4082525175870863,0.3502020202020202,0.0028315416648826,0.0,0.008369577442042225,0.0,0.0,0.0,0.0,0.0,0.0,0.44099211539139704,0.054779896880129755,0.03063370845225724,0.15448802395209577,0.32
-,10-rw-one-channels-anomaly-no-anomaly,autoencoder,-1,-1,125,0.6598184392022777,0.5605050505050505,0.0054299180831632,0.0,0.012132067838186354,0.0,0.0,0.0,0.0,0.0,0.0,0.7320567440610753,0.10344423215759646,0.0523057553139625,0.696,0.9560000000000001
-,10-rw-one-channels-anomaly-no-anomaly,robust_pca,-1,-1,125,0.5302746199104543,0.4912121212121212,0.1066346153846153,0.0,0.010577475445853407,0.0,0.0,0.0,0.0,0.0,0.0,0.5261291176947586,0.06310862874007009,0.03752080142381743,0.26923205128205124,0.63
-,10-rw-one-channels-anomaly-no-anomaly,encdec_ad,-1,-1,125,0.22956005603050886,0.11090909090909092,0.0045553679470944,0.0,0.006177042483022038,0.0,0.0,0.0,0.0,0.0,0.0,0.41662252750107054,0.05058801606726429,0.024173125553079607,0.5093655462184873,0.89445
-,10-rw-one-channels-anomaly-no-anomaly,knn,-1,-1,125,0.8028454994282305,0.7521212121212121,0.0119859307359307,0.0,0.02138137592516289,0.0,0.0,0.0,0.0,0.0,0.0,0.8589157348153528,0.17420018392759498,0.08673556089345712,0.013000000000000048,0.025
-,10-rw-one-channels-anomaly-no-anomaly,hif,-1,-1,125,0.5177995462019823,0.4336363636363636,0.0647875243686142,0.0,0.009481731991561639,0.0,0.0,0.0,0.0,0.0,0.0,0.5623001127752678,0.06715948723624413,0.036929830700221024,0.17718913857677895,0.702
-,10-rw-one-channels-anomaly-no-anomaly,multi_subsequence_lof,-1,-1,125,0.7578038074031975,0.745959595959596,0.0881557168321874,0.0,0.020707607820243272,0.0,0.0,0.0,0.0,0.0,0.0,0.7169491820715428,0.09683068822229662,0.0654810064579959,0.12433333333333328,0.166
