id,name,dataset,model_type,past,coupling_layers,test.ROC_AUC,test.RANGE_PR_AUC,test.F1Score_PercentileThresholding(percentile=90),test.AVERAGE_PRECISION,test.FIXED_RANGE_PR_AUC,test.PR_AUC,train.ROC_AUC,train.RANGE_PR_AUC,train.F1Score_PercentileThresholding(percentile=90),train.AVERAGE_PRECISION,train.FIXED_RANGE_PR_AUC,train.PR_AUC
-,-,2-sine-long-9-diff-anomalies-one-channel,autoencoder,-1,-1,0.8114494401741204,0.4821024389452588,,0.5500746661058109,0.55740780618642,0.5499378333100527,0.8012114600074087,0.4858321379398888,,0.5377730444763095,0.5609420875099211,0.5376407308372589
-,-,2-sine-long-9-diff-anomalies-one-channel,cblof,-1,-1,0.7364631063148728,0.3623855700661126,,0.4119179738224148,0.4367550186852642,0.4117458559453076,0.7557697604045149,0.3560102831651074,,0.4100500942222239,0.4377141850616921,0.409861063690034
-,-,2-sine-long-9-diff-anomalies-one-channel,cof,-1,-1,0.677789184824242,0.2842385254941582,,0.2732012640921291,0.5244514596655249,0.272486124141015,0.6467842854569947,0.2516236540155001,,0.2093509676895236,0.4570202581991126,0.2087431564022812
-,-,2-sine-long-9-diff-anomalies-one-channel,copod,-1,-1,0.536374177422139,0.1641055398409032,,0.0981846186477575,0.2500442787877654,0.0975724627108563,0.5003961993084076,0.0929756380223991,,0.076571061065694,0.0707120042851574,0.0760856559698209
-,-,2-sine-long-9-diff-anomalies-one-channel,dae,-1,-1,0.490616684511472,0.2088876725138599,,0.1070395761659556,0.2875497303473747,0.1067993075678378,0.4168429911953629,0.1972295915694482,,0.0679197192175436,0.1959851089395989,0.0674089142031847
-,-,2-sine-long-9-diff-anomalies-one-channel,damp,-1,-1,0.4898658925807504,0.119791102838177,,0.1042294695890631,0.1875105377178702,0.1034992635775914,0.5286544095384983,0.0608894096725223,,0.0934545758846351,0.045864441380505,0.0932274923556842
-,-,2-sine-long-9-diff-anomalies-one-channel,deepant,-1,-1,0.7076987773824902,0.4011295282170976,,0.3868957118898662,0.5170839162842169,0.3861808125638085,0.6583781540999358,0.3062253543608948,,0.323310531767419,0.3824941766452627,0.3224918398813238
-,-,2-sine-long-9-diff-anomalies-one-channel,deepnap,-1,-1,0.5326189940424697,0.1299387528422338,,0.1461807308740993,0.276270872034323,0.1459830633347643,0.5657547604023554,0.0783070426736247,,0.0816904738762493,0.0599288570482162,0.081462047093407
-,-,2-sine-long-9-diff-anomalies-one-channel,encdec_ad,-1,-1,0.7522277213112181,0.1584029867181362,,0.2693558284144699,0.2046703493178243,0.2685642924602056,0.7212042501013893,0.1554861262873267,,0.2879424360491595,0.2366976229761311,0.2872508189191993
-,-,2-sine-long-9-diff-anomalies-one-channel,fast_mcd,-1,-1,0.8112293134508082,0.5421236553761186,,0.6054919352168421,0.5892242290700793,0.6053953016660353,0.8097051266491688,0.5415373300408508,,0.5982994381401845,0.5913474506423881,0.5981995726449643
-,-,2-sine-long-9-diff-anomalies-one-channel,gdn,-1,-1,0.8814837021867026,0.5492099072610545,,0.6709797832497536,0.5725064194436971,0.6707965906001194,,,,-0.0,,0.5
-,-,2-sine-long-9-diff-anomalies-one-channel,hbos,-1,-1,0.5179527811622201,0.1761693009110758,,0.1178341051406901,0.3786120487035478,0.1303729489292992,0.4925045339050581,0.0853915464562019,,0.0748682062546734,0.1440183621438946,0.0812716434602533
-,-,2-sine-long-9-diff-anomalies-one-channel,health_esn,-1,-1,,0.53755,,,0.53755,,,0.53755,,,0.53755,
-,-,2-sine-long-9-diff-anomalies-one-channel,hif,-1,-1,0.7611756782573681,0.2359590102245458,,0.3507400264293413,0.3952282131013457,0.3498819273223106,0.7680075968913903,0.137746115598058,,0.32431280812209,0.1059158749738017,0.3230766344536363
-,-,2-sine-long-9-diff-anomalies-one-channel,hybrid_knn,-1,-1,0.8768965414478177,0.5147122170782886,,0.660137386923833,0.569679623605395,0.6603167332603251,0.8756757667255639,0.4201403156705762,,0.5865980424032873,0.4560326815936881,0.5858111295259221
-,-,2-sine-long-9-diff-anomalies-one-channel,if_lof,-1,-1,0.74179329711968,0.3713520463288559,,0.4045658898556862,0.5613477075597325,0.4061092735795897,0.7314498605600145,0.3141406314656642,,0.319515570339793,0.4999376184180578,0.3211313602249359
-,-,2-sine-long-9-diff-anomalies-one-channel,iforest,-1,-1,0.7483897564626774,0.3299357481754683,,0.39418692827266,0.5161969460524612,0.3938212540715843,0.7486415560958187,0.2464150913554046,,0.3646030406988316,0.3970069602499495,0.364179056317185
-,-,2-sine-long-9-diff-anomalies-one-channel,kmeans,-1,-1,0.9737349515886772,0.7664501615508466,,0.8340018300660733,0.7835317725713098,0.8338363760685915,0.9662831797125224,0.7130279563617502,,0.7703391017670771,0.7353322152753063,0.7699441328426282
-,-,2-sine-long-9-diff-anomalies-one-channel,knn,-1,-1,0.772505797942096,0.525384763316897,,0.5829920862111341,0.5988806594015786,0.5828903518984438,0.7757217500319249,0.5037019790660509,,0.5585730912305583,0.5748869872004991,0.558426412647135
-,-,2-sine-long-9-diff-anomalies-one-channel,lstm-vae,-1,-1,,,,0.0804078013540569,,0.4771097025587704,,,,0.0811799711538388,,0.4812797331804615
-,-,2-sine-long-9-diff-anomalies-one-channel,lstm_ad,-1,-1,0.7615452435279647,0.4905047411990784,,0.53108222756893,0.5674735481162773,0.5309652703475355,0.7626386787559284,0.4650415730494356,,0.5044073499120062,0.5656541887416406,0.5041953310604033
-,-,2-sine-long-9-diff-anomalies-one-channel,mscred,-1,-1,0.5183419260498021,0.0951208012557093,,0.0782695871485562,0.0816609733282159,0.0892212203571764,0.4464807006162828,0.03755,,0.0751,0.03755,0.03755
-,-,2-sine-long-9-diff-anomalies-one-channel,mstamp,-1,-1,0.7343300798056549,0.3621443236937761,,0.3820963933006984,0.5109327172348604,0.3817447798111094,0.750630974752516,0.3438622143585804,,0.3953792541684162,0.4959707851783207,0.3950077837101398
