dataset,model_type,past,coupling_layers,channels,hidden_multiplier,st_net_layers,encoder_layers,encoder_size,normalized,z_score,time_features,AUC_ROC,AUC_PR,Precision,Recall,F,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_ROC,VUS_PR,Affiliation_Precision,Affiliation_Recall,sliding_window,dataset_full,path
10-rw-one-channels-anomaly,RealNVP,1,18,10,27,3,0,0,True,False,,0.6839231547017189,0.016249199642368,0.0214797136038186,0.9,0.0419580419580419,0.9,0.0409090909090909,0.9200000000000002,0.0783349101229896,0.6989462147869541,0.0929083839883855,0.7333247197258783,0.0619498274205156,0.103974532908543,0.2432432432432432,125.0,10-rw-one-channels-anomaly-no-anomaly,../results/TFselfopt-fsb/offline-run-20241114_190926-tazpsbk4
10-rw-one-channels-anomaly,tcNF-base,9,13,10,29,6,0,0,True,False,,0.5305644302449415,0.0118339467524328,0.018,0.9,0.0352941176470588,0.9,0.0272727272727272,0.9200000000000002,0.0529750479846449,0.5627252875615012,0.0718022580153936,0.5599416484374798,0.0422204371541139,0.4492257036288349,0.9962065331928344,125.0,10-rw-one-channels-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241030_192026-4lmxtutu
10-rw-one-channels-anomaly,tcNF-cnn,51,19,10,41,7,3,7,True,False,,0.8714589989350373,0.0429305006235414,0.0687022900763358,0.9,0.1276595744680851,0.9,0.5,0.9200000000000002,0.647887323943662,0.8934122323087088,0.2284337294167517,0.8686489905040012,0.1247348298413327,0.7145086085646966,1.0,125.0,10-rw-one-channels-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241031_033126-aa7fcp92
10-rw-one-channels-anomaly,tcNF-mlp,48,14,10,14,3,13,0,True,False,,0.8191693290734825,0.0310037223378974,0.0497237569060773,0.9,0.094240837696335,0.9,0.1666666666666666,0.9200000000000002,0.2822085889570552,0.8093416334709127,0.1476995457150752,0.8225966942278471,0.0948863311541947,0.4752370916754479,0.5974710221285564,125.0,10-rw-one-channels-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241031_125903-67i5bquw
10-rw-one-channels-anomaly,tcNF-stateless,32,3,10,15,8,2,0,True,False,,0.6800851970181043,0.0175962651618538,0.02803738317757,0.9,0.0543806646525679,0.9,0.2222222222222222,0.56,0.3181818181818182,0.6786600641650044,0.0935145575993965,0.6611589874578502,0.0531487611668832,0.5398468255878821,1.0,125.0,10-rw-one-channels-anomaly,../results/TFselfopt-fsb/offline-run-20241114_230602-99doouo3
2-big_past_std_cut_wave,RealNVP,1,9,2,16,4,0,0,True,False,,0.8670694864048338,0.0244271602857041,0.0274725274725274,0.8333333333333334,0.0531914893617021,0.8333333333333334,0.0811688311688311,0.8666666666666667,0.148435715916876,0.8908437205095322,0.1772227530505438,0.8875393818242437,0.1031933148081417,0.471707804616211,1.0,50.0,2-big_past_std_cut_wave-no-anomaly,../results/TFselfopt-fsb/offline-run-20241115_023658-rq3njbvo
2-big_past_std_cut_wave,tcNF-base,37,10,2,38,5,0,0,True,False,,0.9547543301519972,0.3317395705455407,0.0458715596330275,0.8333333333333334,0.0869565217391304,0.8333333333333334,0.0100378787878787,0.8666666666666667,0.0198458990422697,0.9894355814433776,0.7945198446524577,0.9818859156609806,0.5795729553099426,0.9236702723043606,0.999743194658449,50.0,2-big_past_std_cut_wave-no-anomaly,../results/TFselfopt-fsb/run-20241030_195726-qmked0ib
2-big_past_std_cut_wave,tcNF-cnn,37,17,2,27,5,1,3,True,False,,0.9657122658183104,0.2614115974520418,0.0609756097560975,0.8333333333333334,0.1136363636363636,0.8333333333333334,0.0254807692307692,0.8666666666666667,0.0495060176037363,0.9968080511099764,0.908409374005522,0.982672546612112,0.5374101540857377,0.8551625806656581,1.0,50.0,2-big_past_std_cut_wave-no-anomaly,../results/TFselfopt-fsb/run-20241031_040743-8w8rqhmv
2-big_past_std_cut_wave,tcNF-mlp,40,18,2,49,3,3,0,True,False,,0.9155178508306824,0.2073365257758657,0.037593984962406,0.8333333333333334,0.0719424460431654,0.8333333333333334,0.1198830409356725,0.8666666666666667,0.2106303102153724,0.9711991898488916,0.6668887309762057,0.9390480017919656,0.3461870754644073,0.7366544554537189,1.0,50.0,2-big_past_std_cut_wave-no-anomaly,../results/TFselfopt-fsb/run-20241031_133230-w7ex0vxp
2-big_past_std_cut_wave,tcNF-stateless,38,10,2,35,4,7,0,True,False,,0.7841993637327678,0.0176026371928966,0.015625,0.8333333333333334,0.0306748466257668,0.8333333333333334,0.0078125,0.8666666666666667,0.015485407980941,0.9035107996508236,0.2138679922253844,0.8119662971158701,0.1052158713957966,0.6394398945473492,1.0,50.0,2-big_past_std_cut_wave-no-anomaly,../results/TFselfopt-fsb/offline-run-20241115_030911-f9agodd5
2-cbf-all-channel-middle-platform-anomaly,RealNVP,1,12,2,49,6,0,0,True,False,,0.5656970912738215,0.0173223496804988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7911672196567922,0.2057815210190766,0.7883333849688624,0.1116561425437069,0.5691803278688524,0.5878688524590163,125.0,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,../results/TFselfopt-fsb/offline-run-20241115_102223-julqkb4l
2-cbf-all-channel-middle-platform-anomaly,tcNF-base,6,9,2,28,6,0,0,True,False,,0.8965153115100317,0.1717687074829932,0.0051282051282051,0.5,0.0101522842639593,0.5,0.0625,0.5,0.1111111111111111,0.7830563753074532,0.209916473812412,0.7613122934278954,0.1069006054786204,0.5196491228070176,0.5203508771929826,125.0,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241030_203740-ijs87mbb
2-cbf-all-channel-middle-platform-anomaly,tcNF-cnn,10,18,2,45,3,1,7,True,False,,0.9794086589229144,0.0777126099706744,0.0333333333333333,0.5,0.0625,0.5,0.1,0.5,0.1666666666666666,0.634154426052858,0.1425880473544339,0.6298216077162899,0.071563796395541,0.5062443282271925,0.7906976744186046,125.0,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,../results/TFselfopt-fsb/offline-run-20241115_101637-8yfrmsi1
2-cbf-all-channel-middle-platform-anomaly,tcNF-mlp,1,20,2,44,3,20,0,True,False,,0.4435058078141499,0.0028143832720654,0.0018450184501845,0.5,0.0036764705882352,0.5,0.0018796992481203,0.5,0.0037453183520599,0.8038001248790978,0.2234796191730079,0.7791382857062598,0.1159858224646325,0.5808987899057965,1.0,125.0,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,../results/TFselfopt-fsb/offline-run-20241115_112458-e142eba9
2-cbf-all-channel-middle-platform-anomaly,tcNF-stateless,46,13,2,19,5,1,0,True,False,,0.8537486800422387,0.0224710876884789,0.0039682539682539,0.5,0.0078740157480314,0.5,0.25,0.5,0.3333333333333333,0.6231714342097847,0.1421815874176505,0.5455794846574906,0.0626434773337961,0.5344019138755982,0.5505263157894738,125.0,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241101_195105-8zklach0
