dataset,model_type,past,coupling_layers,channels,hidden_multiplier,st_net_layers,encoder_layers,encoder_size,normalized,z_score,time_features,AUC_ROC,AUC_PR,Precision,Recall,F,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_ROC,VUS_PR,Affiliation_Precision,Affiliation_Recall,sliding_window,dataset_full,path
SWat,RealNVP,1,20,51,23,3,0,0,True,False,,0.8823805800629796,0.648278403450642,0.8558306438872464,0.6942567876823932,0.766622864651774,0.6942567876823932,0.0980118935726136,0.3590017648750609,0.1539842064713415,0.8862713877740411,0.651804057288871,0.8783833787980688,0.6391115949572395,1.0,0.0283712793053103,125.0,SWat,../results/TFselfopt-real/run-20241113_223451-8kxjc428
SWat,tcNF-base,1,13,51,43,5,0,0,True,False,,0.8845448036617343,0.6718028293371334,0.49257531715451,0.8004393994873673,0.6098564633346818,0.8004393994873673,0.0544862571476735,0.4839976490016005,0.0979461783768157,0.9028170245283816,0.681056198766805,0.8837378262923602,0.6505512087980679,0.3738376127689104,0.0123696917734926,125.0,SWat,../results/TFselfopt-real/run-20241212_123930-7w0c7yy2
SWat,tcNF-cnn,24,15,51,5,3,5,6,True,False,,0.8365862792654875,0.3542718866101856,0.4533777458472122,0.7625132730401669,0.5686472612091092,0.7625132730401669,0.0444405541521302,0.4109903405414534,0.0802081663657159,0.8442353576759551,0.384653693540836,0.8343623966466708,0.376242122448032,0.3741390378042645,0.0123544424455279,125.0,SWat,../results/TFselfopt-real/run-20241212_224542-m2f2h9xc
SWat,tcNF-mlp,1,16,51,47,4,11,0,True,False,,0.8812717515819178,0.5475261144858552,0.4950740597483561,0.7967411204686928,0.6106846662269685,0.7967411204686928,0.0768315912421407,0.5053687300229043,0.1333846178831051,0.9013483670814114,0.5804442604776536,0.8843825475728297,0.5563578517672672,0.3748091603053435,0.0123696917734926,125.0,SWat,../results/TFselfopt-real/run-20241213_035302-11jx7fis
SWat,tcNF-stateless,23,18,51,24,5,5,0,True,False,,0.8763705077396124,0.603410212993649,0.6057558638232423,0.7499084584401318,0.6701680328539407,0.7499084584401318,0.0773050807100773,0.3979009803219754,0.1294586492924989,0.8830922797994426,0.6062336362709586,0.8602663459869007,0.5721302264695514,0.3745662734212352,0.0123696917734926,125.0,SWat,../results/TFselfopt-real/run-20241213_031457-hrvawkr8
WADI,RealNVP,1,13,127,30,3,0,0,True,False,,0.5210986038664556,0.0539353731730602,0.0742066819249624,0.9846647288764158,0.138012418869939,0.9846647288764158,0.0524338657961434,0.945797218674256,0.0993593671963081,0.4952749821709751,0.0661961285278708,0.4863989724498433,0.062330821918841,0.7361207787466135,0.2458432398695909,125.0,WADI,../results/TFselfopt-real/run-20241209_031144-qjzh9923
calit_v2,RealNVP,1,17,2,24,5,0,0,True,False,,0.22375,0.0292595649926256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4978867451749158,0.068067245680837,0.354199234885169,0.0413773737616627,0.3316540722082284,0.0668345927791771,16.0,calit_v2,../results/TFselfopt-real/run-20241206_200356-siof4hc3
calit_v2,tcNF-base,2,18,2,22,3,0,0,True,False,,0.2521015143737166,0.0282828684156884,0.037037037037037,0.0625,0.0465116279069767,0.0625,0.0333333333333333,0.16,0.0551724137931034,0.5458038384419297,0.0807908628197732,0.4034146154732297,0.05105393326142,0.5518647183116395,0.6893389678673228,16.0,calit_v2,../results/TFselfopt-real/run-20241206_181030-jd8moorg
calit_v2,tcNF-cnn,22,18,2,32,3,1,3,True,False,,0.289750393081761,0.0254544521031065,0.0344009489916963,0.90625,0.0662857142857142,0.90625,0.0229370409646125,0.9466666666666664,0.0447888801213698,0.5700295999124555,0.0884664018815802,0.4402261457836438,0.0567758697340702,0.3316540722082284,0.0668345927791771,16.0,calit_v2,../results/TFselfopt-real/run-20241206_175255-fhhni62q
calit_v2,tcNF-mlp,35,19,2,13,3,8,0,True,False,,0.2980207226354942,0.0232615043371126,0.0343558282208589,0.875,0.0661157024793388,0.875,0.0220126959257394,0.8844444444444445,0.0429562651154454,0.568347447532174,0.0733429634856784,0.4355826796574475,0.0458208116249915,0.3215785054575987,0.0644836272040302,16.0,calit_v2,../results/TFselfopt-real/run-20241206_161342-4w9bcnm4
calit_v2,tcNF-stateful,1,4,2,50,7,9,0,True,False,,0.755272435897436,0.0690098492925654,0.0711111111111111,0.5,0.1245136186770428,0.5,0.0783475783475783,0.5599999999999999,0.1374631795054896,0.7667724186364033,0.1185417276017053,0.7737260859777725,0.0927165657137547,0.3316540722082284,0.0668345927791771,16.0,calit_v2,../results/TFselfopt-real/run-20241208_182403-vv03jj0x
calit_v2,tcNF-stateless,82,19,2,15,4,5,0,True,False,,0.2311765939597315,0.0228249467683811,0.0348314606741573,0.96875,0.0672451193058568,0.96875,0.0171011679046975,0.9822222222222224,0.0336170399049982,0.5021223338997751,0.0628629950490657,0.35252302320274,0.0403311713277488,0.3316540722082284,0.0668345927791771,16.0,calit_v2,../results/TFselfopt-real/run-20241207_094602-eykit00j
ghl_v2,RealNVP,1,18,16,14,3,0,0,True,False,,0.6971761354885642,0.0117345089258443,0.0162324803907559,0.9935935891323447,0.0285472215223486,0.9935935891323447,0.0132837035127005,0.9946446923453478,0.0228431557542128,0.7165469179256498,0.0215128896420093,0.7068946466833075,0.0193281734191448,0.5850893858693077,0.8477832589493962,125.0,ghl_v2,../results/TFselfopt-real/run-20241209_025602-3eta60zc
ghl_v2,tcNF-base,13,17,16,9,3,0,0,True,False,,0.8849376953461667,0.0805159738881358,0.0789635317819722,0.8456384331653882,0.1318552470999694,0.8456384331653882,0.002006798807367,0.857613243910114,0.0040008014973179,0.8908645231966791,0.0796947852002856,0.8886463595220992,0.0731769513759303,0.511224318512353,0.962402707453848,125.0,ghl_v2,../results/TFselfopt-real/run-20241209_120545-aduywhgp
ghl_v2,tcNF-cnn,10,10,16,14,3,1,5,True,False,,0.894629096018864,0.0966996351143742,0.0759457547942174,0.833490939421218,0.1193478569313541,0.833490939421218,0.0009394164993282,0.836275092569004,0.0018737197587254,0.9018256670127984,0.124201211602854,0.898711170450076,0.113264660191013,0.5175517314815211,0.957288586628424,125.0,ghl_v2,../results/TFselfopt-real/run-20241209_170005-w2rf3xjc
ghl_v2,tcNF-mlp,10,19,16,10,3,3,0,True,False,,0.6312680568293639,0.1810610295376018,0.0434239084161829,0.9698658560587498,0.0772267931449636,0.9698658560587498,0.0030343968061906,0.922930497258366,0.0060268796986894,0.665634314575774,0.2017921130298911,0.6519481453445329,0.1841671698412267,0.7023388983332587,0.8702175567401268,125.0,ghl_v2,../results/TFselfopt-real/run-20241209_191607-7eme9t7g
ghl_v2,tcNF-stateless,75,20,16,11,3,1,0,True,False,,0.5860218018954969,0.0128235233732198,0.0212209612494541,0.9054955715978488,0.0405329360310188,0.9054955715978488,0.0032592103977313,0.864233918465141,0.0064540689781052,0.610223719982225,0.0148888605195785,0.5991205388282476,0.0136354725088988,0.1232403859073587,0.123194329362958,125.0,ghl_v2,../results/TFselfopt-real/run-20241209_213749-mbzp91q8
